Ship pt,Product Hierarchy,Part Number,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Algorithm,RMSE,MAPE,Parameters
ZTRD,2 A J B,10031492,0,0,0,0.08,0,0,0,0.17,0.35,0.13,0.91,0.96,AR,0.41,nan,[]
ZTRD,2 A J C,10031540,0.17,0,0.22,0.37,0.61,1.28,0,0,0.11,0.26,1.12,0.88,AR,0.5,nan,[]
ZTRD,2 A J E,10031550,0.0,0.03,0,1.03,0.01,1.02,0.02,0.02,0.02,0.0,0.02,0.04,AR,0.41,nan,[]
ZTRD,2 A J F,10031570,0.05,0.04,0.04,0.29,0,1.05,0.03,0.04,0.1,0,1.1,0.02,AR,0.41,nan,[]
ZTRD,2 A K C,10031595,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 A K E,10031610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 A K F,10031620,0.33,0.12,0.02,0.27,0.26,1.18,0.36,0.15,0.1,0.12,0.17,2.16,AR,0.69,nan,[]
ZTRD,2 A L E,10031630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 A M C,10031650,1.83,0,0.41,0.47,0.06,0,0,0.15,0.25,0,0.68,0,AR,0.71,nan,[]
ZTRD,2 A M E,10031690,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.59,inf,[]
ZTRD,2 A P B,10031750,0.06,0.06,0.06,0.06,0.03,0,0,0,0,0,0.01,1.26,AR,0.41,inf,[]
ZTRD,2 A P C,10034324,0.03,1.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,AR,0.29,nan,[]
ZTRD,2 A P E,10036602,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 A P F,10037311,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.31,inf,[]
ZTRD,2 A X C,10037371,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,AR,0.29,nan,[]
ZTRD,2 A X E,10040006,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 A X F,10040211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
ZTRD,2 A Y E,10054011,0,0,0,0,0,0,0,0.11,0,0.95,0,0,AR,0.29,nan,[]
ZTRD,2 B A E,10054017,3.68,1.6,1.45,0.68,0.48,0.46,0.73,1.69,5.6,0.28,0.19,0.5,AR,69721245.74,nan,[]
ZTRD,2 B A F,10054018,0,0.03,0.1,0.09,1.12,0.12,0.12,0.11,0.11,0.11,1.04,0.04,AR,0.41,nan,[]
ZTRD,2 B B C,10054019,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,AR,0.0,nan,[]
ZTRD,2 B B E,10054020,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,AR,0.29,nan,[]
ZTRD,2 B B F,10054027,0.02,0,0,0.44,0.34,0,0.13,0.07,1.93,0,0.12,0.15,AR,0.58,nan,[]
ZTRD,2 B C C,10054034,0.31,0.01,0,0,0,0,0,0,0,0,0,0,AR,0.86,nan,[]
ZTRD,2 B C E,10054036,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 B C F,10054045,0.05,0.04,0.04,0.04,0.05,0.03,1.03,0.03,0.03,0.03,0.04,0.03,AR,0.29,nan,[]
ZTRD,2 B D B,10054046,0,0,0,0,0,0,0,0,0,0,0,0,AR,0.0,nan,[]
ZTRD,2 B D E,10055002,0,0.7,0,0.08,0.03,0.28,0.65,0.06,0.23,0.66,0.29,0,AR,0.71,nan,[]
ZTRD,2 B D F,10055006,0.06,0,0.13,0,0.02,0.04,0,0.66,0,1.68,0.2,1.6,AR,1.04,nan,[]
ZTRD,2 B E C,10055026,-0.0,0.33,0.0,0,-0.0,0.04,0.0,0.32,-0.0,0.56,0.0,0.26,AR,0.41,nan,[]
ZTRD,2 B E E,10057002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,0.0,nan,[]
