ZTRD,2 A J E,EVO,10612512,214,273,44,46,176,13,198,28,50,48,179,20,18,36,37,172,61,31,173,27,18,189,18,39,169,30,22,101,146,46,167,18,175,8,67,26,177,26,101,34,83,103,80,158,47,11,112,22,84,76,82,111,85,82,64,82,116,85,73,65,70
ZTRD,2 A J F,FLUENT,10612513,604,330,579,465,441,362,765,533,537,409,384,626,128,769,305,693,521,620,499,317,579,691,526,538,558,556,608,490,702,793,702,956,576,439,838,644,678,415,581,799,947,953,478,952,717,190,688,565,589,1217,1541,609,680,684,1068,374,913,793,905,863,569
ZTRD,2 A K C,SP,10612516,173,97,42,17,20,40,49,8,47,57,34,49,49,90,58,32,56,22,41,86,33,18,43,55,19,18,84,9,23,14,2,16,9,8,15,29,14,32,13,,1,,1,5,4,,,,,,,,,,,,,,,,
ZTRD,2 A L E,SP,10612523,5805,7911,11502,3915,4563,4617,3861,4644,6237,810,4698,1782,6588,6939,5049,5050,3726,3915,3753,3618,4239,5292,5454,5616,7668,4864,7614,4806,5670,3699,3159,6939,8856,5481,8505,6588,6345,6885,6372,5616,6723,7101,4941,5508,8208,8586,4914,8208,4104,6102,4860,7830,1593,5562,6264,7074,10341,1620,6291,6804,4428
ZTRD,2 B A F,SP,10612552,27,28,11,30,15,22,36,15,32,33,18,29,14,27,24,10,52,35,48,20,31,27,29,37,21,49,158,34,24,29,34,126,27,157,21,25,30,37,32,55,21,44,15,25,38,24,20,23,29,31,15,30,37,28,16,31,21,40,37,15,24
