location-sku,Month 1 - 12 values,algorithm,rmse,mape
ZTRD-0 B X G-1023343,"[744.5458043459704, 744.7195428655467, 744.7552906398115, 744.7630584949933, 744.7652758053255, 744.7670567811572, 744.7661927143798, 744.7657021863586, 744.7651706559517, 744.7651257484986, 744.7646845504773, 744.7653179452572]",ARMA,536.6498266599168,74.17529039311663
ZTRD-0 B X G-10612523,"[6220.614049211777, 6219.806099684178, 6219.936598289078, 6219.917008846201, 6219.916672456254, 6219.921532031558, 6219.919429557635, 6219.908548611729, 6219.938155415575, 6219.913866256137, 6219.917946215137, 6219.9226161111155]",ARMA,3088.3731107558583,82.95519947572309
ZTRD-1 A X E-20729370,"[11.667566130767405, 11.601553287193397, 11.54851268815953, 11.51628874576857, 11.493646062961684, 11.45156512574663, 11.425167001201263, 11.407854858007095, 11.405004735528454, 11.403411581221022, 11.408003126389845, 11.41675943637775]",AR,6.886057147241354,30.994399124285987
