Ship pt,Product Hierarchy,Part Number,Volume,Intermittency
﻿ZTRD,2 B X E,10057034,high,medium
ZTRD,2 B X F,10057083,medium,high
ZTRD,2 B Y C,10076001,medium,medium
ZTRD,2 A I E,10612503,medium,medium
ZTRD,2 A I F,10612504,high,high
