ZTRD,0 B C E,10016362,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 B E E,10016625,,1,,1,,,,,,,,1,,,,,,,,,,1,,,1,,,1,,,,1,,,2,4,,,,,,,,,,,,2,1,,,,1,,,,1,,,,
ZTRD,0 B I F,10022601,4,5,5,4,,7,7,3,4,6,1,4,1,4,2,1,1,6,,11,,2,2,2,5,1,2,1,2,1,5,9,9,3,,1,2,,11,2,1,1,,1,1,2,,,2,1,,1,,2,,2,1,,,1,
ZTRD,0 B J C,10022701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 B J E,10022702,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 B M C,10024003,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 B X C,10024005,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 B X G,10024114,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ZTRD,0 C A E,10024211,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 C F E,10024212,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 C F F,10025006,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 C G E,10026401,1,2,,1,,,,,,2,,,,,,,,,,,1,,,1,,,1,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
ZTRD,0 C G F,10030340,5,1,1,1,1,1,3,,,1,1,1,,4,,3,,2,3,3,3,2,5,2,3,,3,2,,4,3,3,2,1,2,6,,,,1,5,5,,,1,,,,,,,,2,,4,1,,,,4,
ZTRD,1 A A A,10030370,1,1,,,,,1,,,,,,,,,,,,1,,,,1,,,1,,,,1,,,1,1,,,1,,,,,,,,,1,1,,1,1,,1,,,,,,,,,
ZTRD,1 A B E,10030405,1,2,4,5,2,2,1,1,3,11,5,2,2,5,3,9,3,5,3,5,2,7,10,3,1,7,2,4,,7,2,2,11,3,1,1,2,4,3,4,5,1,4,2,1,10,,5,2,1,1,2,3,2,,8,1,3,2,3,2
ZTRD,1 A C E,10030410,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
ZTRD,1 A D A,10030415,,,,,,1,,,,,1,,1,3,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,2,,,,,,,,,1,,,,,,,1,,,,
ZTRD,1 A E E,10030420,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,
ZTRD,1 A H E,10030430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,1 A I E,10030450,4,6,7,5,4,8,8,15,2,15,10,3,4,3,6,10,4,7,6,7,1,7,8,4,5,4,10,4,2,7,1,9,13,7,3,2,3,5,4,7,7,1,5,,1,4,,6,3,2,,3,4,2,,10,5,2,,9,5
ZTRD,1 A L A,10030490,,3,,1,,,,2,,1,,,,,,,,,,1,,,,1,,1,,,,,,,,,1,,,,,,1,,,,2,2,,,,,,,1,1,,,1,,1,,
ZTRD,1 A L F,10030492,2,1,3,2,2,,1,2,3,1,1,,,1,1,4,4,3,1,1,,5,9,1,1,5,1,,1,5,1,3,4,2,,,1,2,2,1,4,1,2,1,,3,1,3,3,1,,1,2,1,1,2,,1,,1,2
ZTRD,1 A X E,10030540,,1,1,2,3,,1,1,,1,,,1,,,4,1,1,,1,,1,,3,1,,1,,2,,,,2,,,,,1,,1,,1,,1,,1,,2,1,2,,,1,,1,1,2,2,1,1,2
ZTRD,1 A X F,10030550,,,1,,3,1,,,,1,,,,,,2,3,3,1,,1,,1,,,,,,,,,1,1,,,1,,1,,,,,,,,3,,,1,1,,,1,2,1,1,1,,,,
ZTRD,1 B A E,10030560,,1,,,,,2,,1,,,1,,2,1,2,,,1,3,2,1,2,,2,,,1,,2,1,,1,2,2,,1,,,2,3,1,2,,2,2,,1,,,1,2,1,,,,,3,1,,1
ZTRD,1 B B B,10030570,4,7,2,3,,1,1,3,3,1,1,2,1,1,1,,,3,,,,2,,4,,1,,,1,1,2,1,2,5,,,,1,,,1,1,,2,1,2,,2,1,1,,2,3,1,,2,1,1,2,1,1
ZTRD,1 B B E,10030580,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
ZTRD,1 B D E,10030590,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,2,,,1,1,,,
ZTRD,1 C X C,10030595,2,3,1,1,,1,2,1,1,6,1,1,,1,,,,2,,,1,,1,1,,,2,1,1,,,,2,1,,,,,,,,,1,,2,1,2,1,2,1,,1,,1,,1,1,1,1,4,
ZTRD,1 S Y G,10030600,,,,,,,2,,1,,,,1,1,,1,,,,,,,,,,,,,1,,,1,,3,,,,,1,1,,1,,,,,,,,1,,,1,1,,,,,1,,1
ZTRD,1 Y Y C,10030610,,,1,,1,,,,,,,,,,1,4,,,,,,,,,,,4,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,
ZTRD,2 A A E,10030620,7,1,5,,3,2,2,,2,,1,7,2,4,2,7,2,3,3,3,,5,9,1,1,2,4,2,3,6,1,5,8,,1,,3,2,3,6,5,3,4,,1,4,3,4,1,4,,2,5,1,1,10,2,3,,11,
ZTRD,2 A C C,10030630,,2,,,,,1,1,,1,,,2,1,2,,,1,,1,,,,,,1,,,,,,1,,,,,,,3,1,1,,,,1,1,,,1,,,1,,3,,1,,2,,1,
ZTRD,2 A C E,10030650,1,3,6,3,,3,,2,1,1,2,1,,8,1,3,1,1,5,,5,4,3,1,,4,7,,,,3,1,1,,1,2,,1,2,3,3,,1,,1,4,2,3,,1,2,,2,5,,3,,7,,5,
ZTRD,2 A G C,10030690,1,5,2,1,1,,,,,,1,,1,,,2,,,,,,,1,1,,2,,,1,,1,1,1,,,,1,,,,,,,,,,1,1,,1,,,,2,,1,,,,,
ZTRD,2 A G E,10030750,,2,2,,,,,,,2,,1,2,,,2,1,,1,,1,,,1,,,,,,2,1,,,,,,1,1,,,1,,,,1,1,1,,1,,,1,1,,1,,,1,,1,1
ZTRD,2 A I B,10031340,,,,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
ZTRD,2 A I C,10031405,,1,,,,,,,,,,1,,2,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,1
ZTRD,2 A I E,10031415,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 A I F,10031450,,1,,,1,,,,1,2,,,3,,,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1
ZTRD,2 A J B,10031492,,1,,,,,,,,,,1,,1,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
ZTRD,2 A J C,10031540,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1
ZTRD,2 A J E,10031550,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
ZTRD,2 A J F,10031570,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,
ZTRD,2 A K C,10031595,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 A K E,10031610,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 A K F,10031620,,1,,,,,1,,9,,,1,1,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2
ZTRD,2 A L E,10031630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTRD,2 A M C,10031650,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,1,
ZTRD,2 A M E,10031690,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
