Ship pt,Product Hierarchy,Part Number,Volume,Intermittency
ZTRD,4 X X C,10155000,low,medium
ZTRD,4 Y Y C,10155001,low,medium
ZTRD,5 A A C,10235200,low,medium
ZTRD,5 A D C,10235203,low,medium
ZTRD,5 A D E,10235204,low,medium
ZTRD,5 A E C,10235208,medium,low
ZTRD,5 A E E,10250762,low,low
ZTRD,5 A E F,10280015,low,medium
ZTRD,5 A X C,10280265,low,high
ZTRD,5 A X E,10280316,low,medium
ZTRD,5 S W E,10290115,low,medium
ZTRD,5 X X E,10290160,low,medium
ZTRD,5 Z Z A,10290237,low,medium
ZTRD,5 Z Z C,10290247,low,medium
ZTRD,5 Z Z E,10290274,low,medium
ZTRD,5 Z Z H,10290299,low,medium
ZTRD,6 C C J,10290300,low,high
ZTRD,6 X A G,10290317,medium,medium
ZTRD,6 X B G,10290318,low,medium
ZTRD,6 X X G,10290319,low,medium
ZTRD,6 X Y G,10290333,low,medium
ZTRD,6 X Z G,10290420,medium,medium
ZTRD,7 D A B,10290421,low,high
ZTRD,7 D A C,10290566,low,medium
ZTRD,7 D Z B,10290599,low,medium
ZTRD,9 Z Z Z,10290607,low,medium
ZTRD,B E 01,10290647,low,medium
ZTRD,G A A A,10290659,low,medium
ZTRD,G A A E,10290778,low,medium
ZTRD,G B A A,10290786,low,medium
ZTRD,G B A E,10290859,low,high
ZTRD,G B D C,10290866,low,medium
ZTRD,S A A A,10300011,low,medium
ZTRD,S A E A,10300225,low,medium
ZTRD,S B A G,10392310,medium,medium
ZTRD,S B B G,10392347,medium,medium
ZTRD,S B C G,10392348,medium,medium
ZTRD,S B D G,10392547,low,medium
ZTRD,S B F G,10520629,medium,medium
ZTRD,S C A E,10570099,low,medium
ZTRD,0 B C E,10570134,low,medium
ZTRD,0 B I F,10612003,low,high
ZTRD,0 B J C,10612004,low,medium
ZTRD,0 B J E,10612016,low,medium
ZTRD,0 C F E,10612064,low,medium
ZTRD,0 C G E,10612065,low,medium
ZTRD,0 C G F,10612068,low,medium
ZTRD,1 A B E,10612121,low,medium
ZTRD,1 A E E,10612156,low,medium
ZTRD,1 A H E,10612251,low,medium
ZTRD,1 A X E,10612252,low,medium
ZTRD,1 A X F,10612340,medium,low
ZTRD,1 B A E,10612341,medium,medium
ZTRD,1 B D E,10612342,medium,medium
ZTRD,1 S Y G,10612343,medium,medium
ZTRD,1 Y Y C,10612345,medium,medium
ZTRD,2 A C E,10612346,medium,medium
ZTRD,2 A G E,10612347,low,medium
ZTRD,2 A I B,10612501,medium,medium
ZTRD,2 A I C,10612502,medium,high
ZTRD,2 A I E,10612503,low,medium
ZTRD,2 A I F,10612504,medium,high
ZTRD,2 A J B,10612510,medium,high
ZTRD,2 A J C,10612511,low,high
ZTRD,2 A J E,10612512,medium,medium
ZTRD,2 A J F,10612513,high,medium
ZTRD,2 A K C,10612516,medium,low
ZTRD,2 A K E,10612517,medium,medium
ZTRD,2 A K F,10612518,medium,high
ZTRD,2 A L E,10612523,high,medium
ZTRD,2 A M C,10612530,medium,high
ZTRD,2 A M E,10612532,medium,medium
ZTRD,2 A P B,10612533,medium,medium
ZTRD,2 A P C,10612534,medium,medium
ZTRD,2 A P E,10612535,low,medium
ZTRD,2 A P F,10612543,low,low
ZTRD,2 A X C,10612544,low,medium
ZTRD,2 A X E,10612545,low,medium
ZTRD,2 A X F,10612546,low,medium
ZTRD,2 A Y E,10612548,low,medium
ZTRD,2 B A C,10612549,low,medium
ZTRD,2 B A E,10612550,low,medium
ZTRD,2 B A F,10612552,medium,medium
ZTRD,2 B B C,10612553,medium,medium
ZTRD,2 B B E,10612554,medium,medium
ZTRD,2 B B F,10612555,medium,medium
ZTRD,2 B C C,10612601,low,medium
ZTRD,2 B C E,10612604,medium,medium
ZTRD,2 B C F,10612605,low,medium
ZTRD,2 B D E,10612622,low,medium
ZTRD,2 B D F,10612624,medium,high
ZTRD,2 B E E,10612627,low,medium
ZTRD,2 B X C,10612628,low,medium
ZTRD,2 B X E,10612629,low,medium
ZTRD,2 B X F,10612651,low,medium
ZTRD,2 C A E,10612670,low,medium
ZTRD,2 C A Z,10612673,low,medium
